#  Central NWS Region June Average Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200206,69.7,1.9
200306,64.2,-3.6
200406,64.1,-3.7
200506,68.4,0.6
200606,68.4,0.6
200706,68,0.2
200806,66.1,-1.7
200906,65.5,-2.3
201006,68,0.2
201106,66.9,-0.9
201206,69.7,1.9
201306,67.2,-0.6
201406,66.7,-1.1
201506,68,0.2
201606,70,2.2
201706,68,0.2
201806,69.9,2.1
201906,65.9,-1.9
202006,69.4,1.6
202106,70.7,2.9
202206,68.3,0.5
