Date,Value,Anomaly
199006,237,26
199106,232,21
199206,175,-36
199306,208,-3
199406,264,53
199506,201,-10
199606,230,19
199706,190,-21
199806,235,24
199906,220,9
200006,227,16
200106,226,15
200206,243,32
200306,189,-22
200406,209,-2
200506,247,36
200606,238,27
200706,235,24
200806,265,54
200906,226,15
201006,286,75
201106,263,52
201206,235,24
201306,247,36
201406,244,33
201506,256,45
201606,271,60
201706,241,30
201806,269,58
201906,226,15
202006,245,34
202106,273,62
202206,267,56
