Date,Value,Anomaly
199006,57.2,1.59
199106,56.82,1.21
199206,55.06,-0.55
199306,55.13,-0.48
199406,57.96,2.35
199506,55.24,-0.37
199606,57.06,1.45
199706,56.17,0.56
199806,55.9,0.29
199906,56.21,0.6
200006,56.44,0.83
200106,56.43,0.82
200206,57.72,2.11
200306,55.54,-0.07
200406,55.76,0.15
200506,56.89,1.28
200606,57.38,1.77
200706,56.8,1.19
200806,56.55,0.94
200906,56.46,0.85
201006,58.37,2.76
201106,56.93,1.32
201206,56.86,1.25
201306,57.76,2.15
201406,57.34,1.73
201506,59.05,3.44
201606,58.59,2.98
201706,57.43,1.82
201806,58.91,3.3
201906,56.23,0.62
202006,57.51,1.9
202106,59.56,3.95
202206,57.83,2.22
