country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
United States,Alabama,0,13363464,13363464,13363464,711670,177767,150032,137998,172357,171540,168611,176401,188059,120526,156510,152821,165819,160176,186013,178233,218439,213522,172535,164266,145663,138618,143924,117542
United States,Alabama,10,13363464,9600146,9223176,711670,177322,149717,137653,171879,170984,167960,175758,187397,120113,156052,150764,161376,134408,155063,140170,170457,170479,141152,135279,117728,111843,115664,93739
United States,Alabama,15,13363464,9474931,9129167,711670,177279,149685,137627,171839,170938,167905,175709,187349,120082,156022,150688,161217,133777,154197,139166,168965,169067,140123,134208,116770,110949,114554,92842
United States,Alabama,20,13363464,9345561,9018703,711670,177144,149589,137528,171686,170763,167711,175516,187159,119990,155915,150555,160988,132767,152952,137824,166971,167103,138678,132778,115429,109626,113088,91548
United States,Alabama,25,13363464,9241762,8983057,711670,177038,149534,137477,171615,170692,167620,175424,187071,119948,155863,150458,160822,131855,151929,136712,165433,165599,137532,131639,114316,108553,111899,90592
United States,Alabama,30,13363464,9097763,8727123,711670,176807,149385,137323,171401,170439,167370,175174,186836,119821,155724,150280,160559,130751,150692,135414,163521,163817,136129,130185,112928,107208,110355,89359
United States,Alabama,50,13363464,8662933,8146256,711670,175289,148228,136178,169732,168609,165540,173340,185127,118877,154727,149292,159368,126741,146032,130669,156757,157130,130939,124900,107922,102254,104973,84975
United States,Alabama,75,13363464,7888200,7196450,711670,168587,142793,130254,160979,159097,155666,163002,175903,114143,149859,145310,154810,120069,137680,122720,145023,145479,121733,115524,99009,93498,95679,77605
United States,Alaska,0,150737804,150737804,150737804,2487551,96794,220515,204942,703938,830242,643864,166545,40654,146409,527452,77078,63181,239337,89800,861433,304486,158022,108733,519846,201132,68776,683892,117837
United States,Alaska,10,150737804,56550936,62957035,2487551,96004,218860,203075,696930,824764,639613,165583,40210,145533,526024,75896,59532,226030,83173,794112,269184,137938,102602,474400,182269,64432,577040,86298
United States,Alaska,15,150737804,53421612,59058116,2487551,95631,217457,201131,685999,815666,634370,164508,39935,144834,524706,75193,58788,221350,80608,770264,258855,130000,99649,458213,177421,62143,551005,83544
United States,Alaska,20,150737804,52041275,57120767,2487551,93602,214537,198884,674080,805633,629979,161812,38952,143067,521428,74067,57163,219363,79321,761746,255321,127615,97979,451092,175215,61481,541047,82575
United States,Alaska,25,150737804,51278257,56139807,2487551,92510,213170,198016,668147,800937,627815,160617,38455,142364,519835,73601,56372,217976,78386,755179,252842,126506,96944,446059,174062,61080,533637,81977
United States,Alaska,30,150737804,50000791,54686979,2487551,91296,208340,193696,651659,786916,620532,158558,37921,140697,517455,72928,55412,214283,76755,739736,247787,123484,94769,435536,171613,60146,519511,80931
United States,Alaska,50,150737804,36891040,37958493,2487551,71176,156715,148418,440842,592859,506121,125147,27849,97416,391738,57789,41335,142457,54099,499171,181000,58107,59068,280604,127662,40979,329848,59427
United States,Alaska,75,150737804,19917836,22291888,2487551,27964,66790,62726,148253,252602,264359,64228,14822,53732,238047,34505,20867,48435,25413,148551,73051,21571,21001,89128,60072,17858,95908,24932
United States,Arizona,0,29535713,29535713,29535713,25872,2649,89334,15195,22235,11575,18083,5449,6347,4246,7823,49726,6762,4358,5415,4078,12300,11698,4470,19375,27383,22737,6865,7213
United States,Arizona,10,29535713,2921332,1738957,25872,1570,67073,12397,16561,5560,12340,3414,5283,2841,7133,49180,6060,3961,5244,4059,12204,11394,4339,17843,24830,21665,6638,6088
United States,Arizona,15,29535713,2590355,1584617,25872,1510,63958,12149,15693,4764,11052,3287,5117,2746,6993,49016,5946,3820,5188,4046,12098,11114,4290,16652,23667,20347,6495,5803
United States,Arizona,20,29535713,2352164,1284313,25872,1482,59784,11774,15428,4626,10948,3241,4991,2681,6931,48940,5794,3684,5111,4017,11765,10603,4222,14664,22220,18532,6296,5591
United States,Arizona,25,29535713,2006304,1103207,25872,1453,58096,11327,15064,4432,10746,3179,4928,2618,6850,48756,5554,3394,4942,3929,11056,9856,4131,12257,20190,16289,6006,5214
United States,Arizona,30,29535713,1808869,1075280,25872,1411,55059,11022,14504,4095,10384,3075,4708,2507,6733,48466,5319,3204,4783,3859,10368,9457,4036,11150,18744,15097,5810,4951
United States,Arizona,50,29535713,1172766,426649,25872,1078,22761,6782,9682,2291,7056,2135,3272,1678,5253,46051,3867,2406,3844,3138,6943,7327,3389,7265,12530,10164,4717,3805
United States,Arizona,75,29535713,511181,167498,25872,653,8946,3548,4812,947,3534,1184,1704,762,2866,35822,1838,935,1780,1027,2386,3272,1530,2571,4385,3882,2027,1267
United States,Arkansas,0,13769059,13769059,13769059,456504,116106,92149,78793,117010,105472,125096,118663,92757,90663,111491,88651,96922,93601,97741,91136,112041,115311,101744,85823,69275,68311,71303,63781
United States,Arkansas,10,13769059,8138438,7614077,456504,115838,92014,78667,116773,105196,124793,118346,92398,90332,111126,87409,94156,80865,81409,75825,93136,95395,85472,76659,61570,60725,62408,55333
United States,Arkansas,15,13769059,8023576,7529567,456504,115814,92001,78657,116751,105169,124761,118313,92367,90304,111093,87343,93975,80362,80968,75430,92602,94686,84975,76223,61172,60331,61918,54862
United States,Arkansas,20,13769059,7906609,7425272,456504,115761,91970,78623,116688,105092,124665,118221,92285,90243,111021,87239,93755,79655,80270,74818,91819,93775,84272,75623,60611,59772,61245,54230
United States,Arkansas,25,13769059,7824687,7391207,456504,115702,91938,78598,116648,105043,124603,118156,92234,90193,110970,87150,93580,79010,79684,74320,91176,93004,83683,75138,60187,59317,60735,53709
United States,Arkansas,30,13769059,7696080,7153896,456504,115545,91846,78532,116520,104886,124434,117986,92089,90060,110832,87012,93306,78251,79004,73700,90369,92088,82990,74511,59608,58744,60067,53056
United States,Arkansas,50,13769059,7327297,6617510,456504,114720,91322,78056,115720,103962,123371,116894,91156,89233,109992,86379,92220,75454,76322,71325,87059,88605,80218,71853,57298,56571,57575,50699
United States,Arkansas,75,13769059,6650427,5738405,456504,110114,88001,74733,110323,97477,116516,109971,85950,85488,105637,83900,88846,70211,71348,66490,80290,81678,74308,66341,52292,51838,52215,45905
