#  Western NWS Region June Average Temperature,,
# Units: Degrees Fahrenheit,,
# Base Period: 2002-2022,,
# Missing: -99,,
Date,Value,Anomaly
200206,66.1,0.7
200306,65.6,0.2
200406,64.7,-0.7
200506,61.7,-3.7
200606,67.4,2
200706,65.7,0.3
200806,63.9,-1.5
200906,62.5,-2.9
201006,63.3,-2.1
201106,61.8,-3.6
201206,64.7,-0.7
201306,66.5,1.1
201406,64.7,-0.7
201506,69.6,4.2
201606,68,2.6
201706,67,1.6
201806,65.8,0.4
201906,64.3,-1.1
202006,64.4,-1
202106,70.6,5.2
202206,65.4,0
